SDR	7.3.15
10/09/2013 05:40:00	0.9	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									325	19	0	0	0	0	0	0	16.2	0.0	16.2	16.2	0.0	0.0	0.0	0.0	996.5	0.2	997.1	996.2	85.1	0.3	85.6	84.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 05:50:00	1.0	0.5	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									313	17	0	0	0	0	0	0	16.1	0.0	16.2	15.9	0.0	0.0	0.0	0.0	996.5	0.2	997.1	996.2	85.1	0.3	85.8	84.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 06:00:00	1.1	0.5	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									294	12	0	0	0	0	0	0	16.0	0.1	16.2	15.9	0.0	0.0	0.0	0.0	996.7	0.1	997.1	996.2	85.5	0.3	86.3	84.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 06:10:00	0.6	0.4	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									282	11	0	0	0	0	0	0	16.0	0.0	16.2	15.9	0.0	0.0	0.0	0.0	996.7	0.1	997.1	996.2	85.8	0.3	86.5	85.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 06:20:00	0.6	0.4	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									286	16	0	0	0	0	0	0	16.0	0.0	16.2	15.9	0.8	1.3	4.0	0.0	996.9	0.2	997.1	997.1	85.8	0.2	86.5	85.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 06:30:00	1.2	0.6	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									328	17	0	0	0	0	0	0	16.1	0.0	16.2	15.9	7.0	2.1	10.6	4.0	997.1	0.0	998.1	997.1	85.6	0.3	86.5	85.1	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 06:40:00	1.7	0.6	3.0	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									325	12	0	0	0	0	0	0	16.2	0.0	16.5	16.2	15.3	3.0	21.1	10.6	997.1	0.1	998.1	997.1	85.2	0.3	85.8	84.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 06:50:00	1.7	0.5	3.0	0.8	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									323	15	0	0	0	0	0	0	16.2	0.0	16.5	16.2	27.3	4.1	34.3	21.1	997.1	0.2	998.1	997.1	84.8	0.3	85.4	84.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 07:00:00	1.5	0.7	3.0	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									310	20	0	0	0	0	0	0	16.2	0.0	16.5	16.2	43.5	5.5	54.2	34.3	997.4	0.2	998.1	997.1	84.7	0.3	85.4	84.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 07:10:00	1.3	0.5	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									311	12	0	0	0	0	0	0	16.3	0.1	16.5	16.2	62.7	4.4	69.9	54.2	997.4	0.2	998.1	997.1	84.3	0.3	85.1	83.5	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 07:20:00	1.5	0.6	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									313	17	0	0	0	0	0	0	16.5	0.1	16.5	16.5	78.6	5.1	88.5	69.9	997.4	0.1	998.1	997.1	83.4	0.4	84.2	82.6	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 07:30:00	1.2	0.6	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									310	18	0	0	0	0	0	0	16.6	0.1	16.7	16.5	96.3	3.7	102.9	88.5	997.6	0.2	998.1	998.1	82.6	0.3	83.5	82.0	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 07:40:00	1.0	0.5	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									311	17	0	0	0	0	0	0	16.8	0.1	17.0	16.7	111.7	5.3	121.4	102.9	997.6	0.2	998.1	998.1	81.3	0.5	82.6	80.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 07:50:00	1.0	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									307	22	0	0	0	0	0	0	17.1	0.1	17.3	17.0	132.7	7.5	146.4	121.4	997.8	0.2	998.1	998.1	80.1	0.4	81.3	79.1	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 08:00:00	0.8	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									299	6	0	0	0	0	0	0	17.3	0.1	17.6	17.3	160.6	7.8	174.1	148.0	997.8	0.1	998.1	998.1	78.8	0.5	79.8	77.6	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 08:10:00	0.6	0.3	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									259	19	0	0	0	0	0	0	17.7	0.1	17.9	17.6	175.5	0.8	176.9	174.1	997.8	0.0	998.1	998.1	76.2	0.7	78.1	74.7	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 08:20:00	0.6	0.3	1.5	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									226	41	0	0	0	0	0	0	18.0	0.1	18.1	17.9	183.3	9.3	215.0	171.7	998.1	0.2	998.1	998.1	74.1	0.5	75.4	72.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 08:30:00	0.4	0.0	0.8	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									228	43	0	0	0	0	0	0	18.6	0.4	19.6	18.1	364.8	80.9	484.4	273.6	998.1	0.2	999.0	998.1	71.0	1.9	73.7	66.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 08:40:00	0.5	0.2	1.2	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									132	39	0	0	0	0	0	0	19.6	0.2	19.8	19.6	327.1	44.1	427.7	233.8	998.3	0.0	999.0	998.1	65.0	0.8	67.4	63.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 08:50:00	0.5	0.2	1.2	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									35	107	0	0	0	0	0	0	19.8	0.1	19.8	19.6	292.4	48.1	411.8	221.5	998.5	0.2	999.0	998.1	65.0	0.4	65.8	63.7	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 09:00:00	0.6	0.3	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									211	16	0	0	0	0	0	0	19.9	0.2	20.4	19.6	482.8	96.2	599.9	296.7	998.5	0.2	999.0	998.1	61.6	1.4	64.2	58.6	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
